Hour,Wind speed (m/s)_clipped,Visibility (10m)_clipped,Dew point temperature(°C)_clipped,Solar Radiation (MJ/m2)_clipped,Rainfall(mm)_clipped,Snowfall (cm)_clipped,Seasons,Holiday,Functioning Day,month,day
0,2.2,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
1,0.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
2,1.0,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
3,0.9,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
4,2.3,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
5,1.5,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
6,1.3,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
7,0.9,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
8,1.1,2000,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes,December,1
9,0.5,1928,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes,December,1
10,1.2,1996,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes,December,1
11,1.3,1936,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes,December,1
12,1.4,2000,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes,December,1
13,1.6,2000,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes,December,1
14,2.0,2000,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes,December,1
15,3.2,2000,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes,December,1
16,4.2,793,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes,December,1
17,1.6,2000,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes,December,1
18,1.4,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
19,1.7,2000,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
20,1.5,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
21,0.8,1687,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
22,1.5,1380,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
23,1.0,1265,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
0,1.1,994,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
1,0.6,990,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
2,1.5,1256,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
3,2.2,1221,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
4,2.0,1167,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
5,1.5,1202,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
6,2.1,1178,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
