Hour,Visibility (10m)_sqrt,Dew point temperature(°C),Solar Radiation (MJ/m2)_log,Rainfall(mm)_log,Snowfall (cm)_log,Seasons,Holiday,Functioning Day,month,day
0,1.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
1,1.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
2,1.0,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
3,1.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
4,1.0,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
5,1.0,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
6,1.0,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
7,1.0,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
8,1.0,-19.8,0.009950330853168092,0.0,0.0,Winter,No Holiday,Yes,December,1
9,8.54400374531753,-22.4,0.20701416938432612,0.0,0.0,Winter,No Holiday,Yes,December,1
10,2.23606797749979,-21.2,0.5007752879124892,0.0,0.0,Winter,No Holiday,Yes,December,1
11,8.06225774829855,-20.2,0.6626879730752367,0.0,0.0,Winter,No Holiday,Yes,December,1
12,1.0,-17.2,0.7466879474879753,0.0,0.0,Winter,No Holiday,Yes,December,1
13,1.0,-15.6,0.7701082216960737,0.0,0.0,Winter,No Holiday,Yes,December,1
14,1.0,-14.6,0.6981347220709843,0.0,0.0,Winter,No Holiday,Yes,December,1
15,1.0,-11.4,0.43178241642553783,0.0,0.0,Winter,No Holiday,Yes,December,1
16,34.75629439396553,-7.0,0.2151113796169455,0.0,0.0,Winter,No Holiday,Yes,December,1
17,1.0,-6.5,0.0769610411361284,0.0,0.0,Winter,No Holiday,Yes,December,1
18,1.0,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
19,1.0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
20,9.38083151964686,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
21,17.72004514666935,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
22,24.919871588754223,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
23,27.129319932501073,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,1
0,31.73326330524486,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
1,31.796226191169293,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
2,27.294688127912362,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
3,27.92848008753788,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
4,28.879058156387302,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
5,28.26658805020514,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
6,28.687976575562104,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
7,26.92582403567252,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
8,23.769728648009426,-7.3,0.009950330853168092,0.0,0.0,Winter,No Holiday,Yes,December,2
9,22.67156809750927,-7.9,0.26236426446749106,0.0,0.0,Winter,No Holiday,Yes,December,2
10,26.30589287593181,-7.8,0.5877866649021191,0.0,0.0,Winter,No Holiday,Yes,December,2
11,24.392621835300936,-7.7,0.6931471805599453,0.0,0.0,Winter,No Holiday,Yes,December,2
12,18.303005217723125,-7.8,0.7371640659767196,0.0,0.0,Winter,No Holiday,Yes,December,2
13,14.866068747318506,-7.9,0.7514160886839212,0.0,0.0,Winter,No Holiday,Yes,December,2
14,6.782329983125268,-7.1,0.688134638736401,0.0,0.0,Winter,No Holiday,Yes,December,2
15,6.928203230275509,-4.8,0.5538851132264376,0.0,0.0,Winter,No Holiday,Yes,December,2
16,7.483314773547883,-3.8,0.19885085874516517,0.0,0.0,Winter,No Holiday,Yes,December,2
17,10.488088481701515,-3.3,0.058268908123975824,0.0,0.0,Winter,No Holiday,Yes,December,2
18,17.435595774162696,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
19,18.303005217723125,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
20,20.396078054371138,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
21,23.515952032609693,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
22,23.558437978779494,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
23,25.475478405713993,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
0,26.551836094703507,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
1,38.93584466786357,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
2,34.219877264537345,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
3,31.464265445104548,-1.3,0.0,0.4054651081081644,0.0,Winter,No Holiday,Yes,December,3
4,30.675723300355934,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
5,32.96968304366907,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
6,41.50903516103452,1.2,0.0,0.6931471805599453,0.0,Winter,No Holiday,Yes,December,3
7,43.266615305567875,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
8,41.916583830269374,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
9,42.07136793592526,2.1,0.01980262729617973,1.252762968495368,0.0,Winter,No Holiday,Yes,December,3
10,41.7612260356422,2.7,0.2151113796169455,0.0,0.0,Winter,No Holiday,Yes,December,3
11,40.98780306383839,3.1,0.22314355131420976,0.0,0.0,Winter,No Holiday,Yes,December,3
12,40.64480286580315,3.4,0.3576744442718159,0.0,0.0,Winter,No Holiday,Yes,December,3
13,40.13726448077895,3.7,0.47000362924573563,0.0,0.0,Winter,No Holiday,Yes,December,3
14,39.736632972611055,3.6,0.5247285289349821,0.0,0.0,Winter,No Holiday,Yes,December,3
15,39.59797974644666,3.4,0.4252677354043441,0.0,0.0,Winter,No Holiday,Yes,December,3
16,40.024992192379,3.8,0.1823215567939546,0.0,0.0,Winter,No Holiday,Yes,December,3
17,40.53393639902249,3.8,0.04879016416943204,0.0,0.0,Winter,No Holiday,Yes,December,3
18,40.91454509095757,3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
19,41.13392760240627,3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
20,41.80908992073375,3.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
21,41.88078318274385,2.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
22,42.42640687119285,2.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
23,42.50882261366456,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
0,42.24926034855522,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
1,42.190046219457976,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
